X,Y,Y,Y,X,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,S,X,X,X,S,X,X,X,S,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,S,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Y,,,,,,Y,,S,X,,,S,X,,,S,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,X,,,,,,,,,,,,,,,S,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,X,Y,Y,Y,X,Y,X,X,X,X,R,Y,X,X,S,X,S,X,S,X,S,X,S,X,X,X,X,X,X,X,X,X,X,X,X,Y,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,R,Y,S,X,X,X,X,Y,X,X,X,X,R,Y,X,X,S,X,S,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Y,X,X,X,X,R,Y,X,X,X,X,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,S,X,,,S,X,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,Y,,,,,,Y,,S,X,,,,,,,,,,,,,,,,,Y,,,,,,Y,,,,S,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,X,Y,Y,Y,S,X,S,X,S,X,X,X,X,X,X,X,X,X,X,X,S,Y,Y,Y,Y,Y,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,S,X,S,X,X,X,X,X,X,X,X,X,X,X,S,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,X,X,S,X,S,X,X,X,S,R,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,S,X,,,,,,,,,,,,,S,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,X,,,,,,,,,,,S,X,,,,,,,,,,,,,,,S,X,,,S,X,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,X,Y,Y,Y,S,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,S,X,S,X,X,X,X,X,X,X,X,X,X,X,X,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,S,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,S,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,S,Y,X,X,X,X,X,X,X,X,X,X,X,X,R,Y,S,X,S,X,S,X,X,X,X,X,X,X,X,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,X,R
,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,Y,,S,X,,,,,,,,,,,,,,,,,Y,,,,,,Y,,S,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,Y,,,,Y,,,,,,,,,,,,,,Y,,S,X,,,,,,,,,,,,,Y,,,,,,Y,,,,
,,,,,,,,,,,,,,,,,,X,Y,Y,Y,X,Y,X,X,X,X,R,Y,X,X,S,X,S,X,X,X,X,X,X,X,X,X,X,X,X,X,S,Y,X,X,X,X,R,Y,X,X,S,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,X,X,S,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Y,X,X,X,X,R,Y,X,Y,Y,Y,Y,Y,X,X,X,X,X,X,X,X,X,Y,Y,Y,Y,Y,S,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,S,Y,X,X,X,X,R,Y,X,R,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,X,,,,,,,,,,,,,S,X,,,,,,,,,,,,,Y,,,,,,Y,,,,S,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,Y,,S,X,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,Y,Y,Y,S,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,S,X,S,X,X,X,X,X,X,X,X,X,X,X,X,Y,X,X,X,X,R,Y,X,X,X,X,S,X,S,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Y,X,X,X,X,R,Y,X,X,S,R,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,Y,,S,X,,,,,,,,,,,,,,,,,,,,,,,,,,,S,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,Y,Y,Y,X,Y,X,X,X,X,R,Y,S,X,S,X,S,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,X,,,S,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,Y,Y,Y,S,X,X,X,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
